iter	Passed	Remaining
0	182	182708
1	190	95149
2	197	65795
3	205	51076
4	213	42545
5	225	37341
6	233	33176
7	240	29791
8	247	27285
9	254	25209
10	265	23857
11	272	22410
12	279	21237
13	285	20139
14	294	19345
15	301	18551
16	309	17917
17	316	17274
18	325	16802
19	332	16277
20	342	15952
21	349	15550
22	358	15249
23	368	15002
24	383	14974
25	391	14664
26	398	14356
27	405	14090
28	412	13816
29	419	13548
30	427	13359
31	433	13122
32	442	12958
33	449	12764
34	457	12620
35	464	12431
36	472	12288
37	478	12124
38	486	11999
39	494	11876
40	502	11755
41	509	11626
42	520	11576
43	529	11503
44	537	11415
45	545	11304
46	552	11196
47	559	11099
48	569	11043
49	575	10939
50	583	10852
51	592	10793
52	600	10734
53	607	10639
54	616	10593
55	623	10518
56	632	10459
57	638	10377
58	648	10339
59	655	10265
60	664	10226
61	672	10170
62	680	10123
63	687	10048
64	694	9993
65	701	9920
66	709	9882
67	717	9838
68	727	9815
69	736	9781
70	745	9753
71	753	9711
72	763	9697
73	773	9676
74	782	9647
75	789	9597
76	797	9563
77	804	9506
78	812	9469
79	820	9436
80	830	9423
81	837	9381
82	846	9352
83	853	9304
84	861	9271
85	867	9220
86	876	9197
87	883	9151
88	891	9122
89	897	9077
90	906	9052
91	912	9009
92	919	8969
93	927	8940
94	934	8903
95	941	8868
96	949	8841
97	958	8818
98	965	8782
99	972	8750
100	979	8714
101	985	8679
102	994	8664
103	1002	8640
104	1010	8617
105	1017	8578
106	1024	8548
107	1031	8516
108	1039	8497
109	1048	8480
110	1056	8462
111	1063	8429
112	1071	8408
113	1078	8378
114	1084	8346
115	1093	8333
116	1099	8300
117	1107	8281
118	1115	8255
119	1122	8234
120	1129	8204
121	1137	8189
122	1145	8169
123	1153	8150
124	1160	8120
125	1168	8107
126	1175	8078
127	1182	8057
128	1190	8038
129	1197	8013
130	1206	8000
131	1213	7978
132	1220	7955
133	1227	7931
134	1234	7911
135	1242	7890
136	1248	7863
137	1255	7840
138	1261	7814
139	1269	7798
140	1275	7773
141	1283	7755
142	1290	7731
143	1296	7705
144	1306	7705
145	1314	7691
146	1322	7672
147	1328	7649
148	1336	7632
149	1342	7608
150	1351	7597
151	1357	7573
152	1365	7557
153	1371	7534
154	1378	7514
155	1385	7495
156	1392	7476
157	1400	7465
158	1407	7443
159	1414	7426
160	1420	7403
161	1427	7384
162	1433	7363
163	1441	7346
164	1449	7336
165	1458	7325
166	1466	7312
167	1472	7291
168	1479	7275
169	1486	7257
170	1499	7269
